FIPS,State,County,FFR09,FFR14,PCH_FFR_09_14,FFRPTH09,FFRPTH14,PCH_FFRPTH_09_14,FSR09,FSR14,PCH_FSR_09_14,FSRPTH09,FSRPTH14,PCH_FSRPTH_09_14,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12
01061,AL,Geneva,10,10,0,0.375192286,0.374363582,-0.220874513,8,11,37.5,0.300153829,0.41179994,37.19629754,649.511367,674.8027204,484.381507,512.2809873
01063,AL,Greene,1,1,0,0.108908734,0.11691804,7.354144745,3,2,-33.33333333,0.326726203,0.233836081,-28.43057017,649.511367,674.8027204,484.381507,512.2809873
01065,AL,Hale,5,7,40,0.31201248,0.461011591,47.75421496,5,4,-20,0.31201248,0.263435195,-15.56902002,649.511367,674.8027204,484.381507,512.2809873
01067,AL,Henry,10,10,0,0.579945485,0.581733566,0.30831879,9,11,22.22222222,0.521950937,0.639906923,22.5990563,649.511367,674.8027204,484.381507,512.2809873
01069,AL,Houston,83,97,16.86746988,0.825870647,0.930964652,12.725238,75,77,2.666666667,0.746268657,0.739013177,-0.972234219,649.511367,674.8027204,484.381507,512.2809873
01071,AL,Jackson,30,29,-3.333333333,0.561156731,0.550650337,-1.872274439,29,25,-13.79310345,0.542451507,0.474698566,-12.49013773,649.511367,674.8027204,484.381507,512.2809873
01073,AL,Jefferson,578,642,11.07266436,0.877831119,0.971559929,10.67731679,368,376,2.173913043,0.558895938,0.569013292,1.810239331,649.511367,674.8027204,484.381507,512.2809873
01075,AL,Lamar,7,6,-14.28571429,0.476547076,0.425954849,-10.61641752,10,10,0,0.680781537,0.709924748,4.28084623,649.511367,674.8027204,484.381507,512.2809873
01077,AL,Lauderdale,61,72,18.03278689,0.65927415,0.773395205,17.31010612,61,70,14.75409836,0.65927415,0.751912005,14.05149206,649.511367,674.8027204,484.381507,512.2809873
01079,AL,Lawrence,25,16,-36,0.728544368,0.477940078,-34.39794486,15,17,13.33333333,0.437126621,0.507811333,16.17030598,649.511367,674.8027204,484.381507,512.2809873
01081,AL,Lee,108,128,18.51851852,0.779411977,0.82979482,6.464212097,94,109,15.95744681,0.678377091,0.706622152,4.163622407,649.511367,674.8027204,484.381507,512.2809873
01083,AL,Limestone,45,51,13.33333333,0.553328579,0.561754436,1.522758398,35,39,11.42857143,0.430366672,0.429576922,-0.183506449,649.511367,674.8027204,484.381507,512.2809873
01085,AL,Lowndes,2,0,-100,0.174125022,0,-100,0,2,,0,0.189035917,,649.511367,674.8027204,484.381507,512.2809873
01087,AL,Macon,10,9,-10,0.471920717,0.463320463,-1.822393822,5,2,-60,0.235960359,0.102960103,-56.36550837,649.511367,674.8027204,484.381507,512.2809873
01089,AL,Madison,300,330,10,0.906738883,0.942052361,3.894558648,222,226,1.801801802,0.670986774,0.645163132,-3.848606656,649.511367,674.8027204,484.381507,512.2809873
01091,AL,Marengo,16,19,18.75,0.75578649,0.94480358,25.00932372,12,9,-25,0.566839868,0.447538538,-21.04674291,649.511367,674.8027204,484.381507,512.2809873
01093,AL,Marion,26,17,-34.61538462,0.848397833,0.561593604,-33.80539384,20,20,0,0.652613718,0.660698358,1.238809422,649.511367,674.8027204,484.381507,512.2809873
01095,AL,Marshall,70,71,1.428571429,0.759112056,0.750243036,-1.168341253,70,60,-14.28571429,0.759112056,0.6340082,-16.48028838,649.511367,674.8027204,484.381507,512.2809873
01097,AL,Mobile,253,253,0,0.614086613,0.60945792,-0.753752502,212,217,2.358490566,0.514570601,0.522736635,1.586960882,649.511367,674.8027204,484.381507,512.2809873
01099,AL,Monroe,10,9,-10,0.430700319,0.410078826,-4.787898118,8,10,25,0.344560255,0.45564314,32.23903039,649.511367,674.8027204,484.381507,512.2809873
01101,AL,Montgomery,169,210,24.26035503,0.742507919,0.928427112,25.03935482,139,141,1.438848921,0.61070178,0.623372489,2.074778554,649.511367,674.8027204,484.381507,512.2809873
01103,AL,Morgan,100,99,-1,0.840661096,0.827710753,-1.540495122,57,67,17.54385965,0.479176825,0.560167883,16.90212346,649.511367,674.8027204,484.381507,512.2809873
01105,AL,Perry,2,1,-50,0.187090739,0.101770812,-45.60350092,5,6,20,0.467726848,0.610624873,30.5515978,649.511367,674.8027204,484.381507,512.2809873
01107,AL,Pickens,6,8,33.33333333,0.302816191,0.392830837,29.72583681,6,6,0,0.302816191,0.294623128,-2.705622391,649.511367,674.8027204,484.381507,512.2809873
01109,AL,Pike,30,33,10,0.921375921,0.988349456,7.268861002,20,22,10,0.614250614,0.658899638,7.268861002,649.511367,674.8027204,484.381507,512.2809873
01111,AL,Randolph,11,9,-18.18181818,0.481105668,0.399307866,-17.00204494,17,7,-58.82352941,0.743526942,0.310572785,-58.22978732,649.511367,674.8027204,484.381507,512.2809873
01113,AL,Russell,44,44,0,0.843525938,0.738155952,-12.49161186,25,21,-16,0.479276101,0.352301704,-26.49295397,649.511367,674.8027204,484.381507,512.2809873
01115,AL,St. Clair,48,49,2.083333333,0.578250551,0.5651868,-2.259185247,48,44,-8.333333333,0.578250551,0.507514678,-12.23273777,649.511367,674.8027204,484.381507,512.2809873
01117,AL,Shelby,128,141,10.15625,0.664217365,0.682296581,2.721882485,133,132,-0.751879699,0.690163356,0.638745736,-7.450065244,649.511367,674.8027204,484.381507,512.2809873
01119,AL,Sumter,7,7,0,0.509239051,0.53167249,4.405286344,5,6,20,0.36374218,0.455719277,25.28634361,649.511367,674.8027204,484.381507,512.2809873
01121,AL,Talladega,49,49,0,0.592689358,0.602542977,1.662526746,45,37,-17.77777778,0.544306553,0.454981432,-16.41081134,649.511367,674.8027204,484.381507,512.2809873
01123,AL,Tallapoosa,24,20,-16.66666667,0.573737181,0.48584963,-15.31843395,22,17,-22.72727273,0.525925749,0.412972185,-21.47709329,649.511367,674.8027204,484.381507,512.2809873
01125,AL,Tuscaloosa,158,161,1.898734177,0.81953608,0.796194093,-2.848195164,104,110,5.769230769,0.539441471,0.543983542,0.841995225,649.511367,674.8027204,484.381507,512.2809873
01127,AL,Walker,45,41,-8.888888889,0.668181211,0.626231461,-6.278199508,39,34,-12.82051282,0.579090383,0.519313895,-10.32247983,649.511367,674.8027204,484.381507,512.2809873
01129,AL,Washington,4,3,-25,0.228662894,0.178210764,-22.06397766,6,6,0,0.342994341,0.356421528,3.914696448,649.511367,674.8027204,484.381507,512.2809873
01131,AL,Wilcox,6,5,-16.66666667,0.50547599,0.450531627,-10.8698264,6,5,-16.66666667,0.50547599,0.450531627,-10.8698264,649.511367,674.8027204,484.381507,512.2809873
01133,AL,Winston,12,10,-16.66666667,0.486007047,0.414078675,-14.79986197,19,15,-21.05263158,0.769511158,0.621118012,-19.28407977,649.511367,674.8027204,484.381507,512.2809873
02013,AK,Aleutians East,1,1,0,0.324254215,0.297619048,-8.214285714,0,1,,0,0.297619048,,582.7155098,511.4807882,688.0841941,724.8088817
02016,AK,Aleutians West,2,0,-100,0.361206429,0,-100,3,2,-33.33333333,0.541809644,0.347826087,-35.80289855,582.7155098,511.4807882,688.0841941,724.8088817
02020,AK,Anchorage,207,204,-1.449275362,0.719557003,0.677718348,-5.814501805,208,231,11.05769231,0.723033124,0.767416365,6.138479619,582.7155098,511.4807882,688.0841941,724.8088817
02050,AK,Bethel,5,7,40,0.296559905,0.391761809,32.10208193,4,7,75,0.237247924,0.391761809,65.12760242,582.7155098,511.4807882,688.0841941,724.8088817
02060,AK,Bristol Bay,0,0,0,0,0,0,2,2,0,2.049180328,2.089864159,1.985370951,582.7155098,511.4807882,688.0841941,724.8088817
02068,AK,Denali,1,2,100,0.550357733,1.041124414,89.17230609,7,7,0,3.852504128,3.64393545,-5.413846955,582.7155098,511.4807882,688.0841941,724.8088817
02070,AK,Dillingham,0,1,,0,0.200481155,,3,2,-33.33333333,0.628140704,0.40096231,-36.16680032,582.7155098,511.4807882,688.0841941,724.8088817
02090,AK,Fairbanks North Star,43,49,13.95348837,0.451500452,0.49317109,9.229368093,59,65,10.16949153,0.61950062,0.654206548,5.60224276,582.7155098,511.4807882,688.0841941,724.8088817
02100,AK,Haines,1,1,0,0.402252615,0.389711613,-3.117692907,6,6,0,2.413515688,2.33826968,-3.117692907,582.7155098,511.4807882,688.0841941,724.8088817
02105,AK,Hoonah-Angoon,0,2,,0,0,0,0,3,,0,0,0,582.7155098,511.4807882,688.0841941,724.8088817
02110,AK,Juneau,22,31,40.90909091,0.712966264,0.956612973,34.17366593,32,29,-9.375,1.037041838,0.894896007,-13.70685598,582.7155098,511.4807882,688.0841941,724.8088817
02122,AK,Kenai Peninsula,36,39,8.333333333,0.656982261,0.678532282,3.280152641,69,77,11.5942029,1.259216001,1.339666301,6.388919777,582.7155098,511.4807882,688.0841941,724.8088817
02130,AK,Ketchikan Gateway,7,12,71.42857143,0.526553332,0.870385145,65.29857319,13,12,-7.692307692,0.97788476,0.870385145,-10.99307598,582.7155098,511.4807882,688.0841941,724.8088817
02150,AK,Kodiak Island,6,7,16.66666667,0.444279896,0.500500501,12.65432099,9,11,22.22222222,0.666419845,0.786500787,18.01881246,582.7155098,511.4807882,688.0841941,724.8088817
02164,AK,Lake and Peninsula,0,0,0,0,0,0,0,0,0,0,0,0,582.7155098,511.4807882,688.0841941,724.8088817
02170,AK,Matanuska-Susitna,36,43,19.44444444,0.414340795,0.439304469,6.024913218,45,50,11.11111111,0.517925994,0.51081915,-1.372173751,582.7155098,511.4807882,688.0841941,724.8088817
02180,AK,Nome,4,1,-75,0.429507141,0.101864113,-76.28348783,5,10,100,0.536883926,1.018641133,89.73209738,582.7155098,511.4807882,688.0841941,724.8088817
02185,AK,North Slope,4,2,-50,0.439319055,0.206121818,-53.08152118,5,5,0,0.549148819,0.515304545,-6.163042358,582.7155098,511.4807882,688.0841941,724.8088817
02188,AK,Northwest Arctic,1,2,100,0.133922593,0.25916807,93.52079824,0,1,,0,0.129584035,,582.7155098,511.4807882,688.0841941,724.8088817
02195,AK,Petersburg,0,4,,0,0,0,0,1,,0,0,0,582.7155098,511.4807882,688.0841941,724.8088817
02198,AK,Prince of Wales-Hyder,0,3,,0,0,0,0,2,,0,0,0,582.7155098,511.4807882,688.0841941,724.8088817
02220,AK,Sitka,4,4,0,0.452284034,0.449438202,-0.629213483,10,8,-20,1.130710086,0.898876404,-20.50337079,582.7155098,511.4807882,688.0841941,724.8088817
02230,AK,Skagway,0,2,,0,0,0,0,10,,0,0,0,582.7155098,511.4807882,688.0841941,724.8088817
02240,AK,Southeast Fairbanks,6,2,-66.66666667,0.862688713,0.28855865,-66.55124321,8,7,-12.5,1.150251618,1.009955273,-12.19701342,582.7155098,511.4807882,688.0841941,724.8088817
02261,AK,Valdez-Cordova,9,9,0,0.948166877,0.94856661,0.0421585,10,15,50,1.053518753,1.580944351,50.06323777,582.7155098,511.4807882,688.0841941,724.8088817
02270,AK,Wade Hampton,0,0,0,0,0,0,0,0,0,0,0,0,582.7155098,511.4807882,688.0841941,724.8088817
02275,AK,Wrangell,0,1,,0,0,0,0,1,,0,0,0,582.7155098,511.4807882,688.0841941,724.8088817
02282,AK,Yakutat,1,0,-100,1.503759398,0,-100,0,0,0,0,0,0,582.7155098,511.4807882,688.0841941,724.8088817
02290,AK,Yukon-Koyukuk,0,0,0,0,0,0,2,1,-50,0.363967243,0.180277628,-50.46872183,582.7155098,511.4807882,688.0841941,724.8088817
04001,AZ,Apache,15,16,6.666666667,0.211243804,0.222754358,5.448942845,19,18,-5.263157895,0.267575484,0.250598652,-6.344688921,760.5004608,577.7188093,758.6283717,623.5880149
04003,AZ,Cochise,52,61,17.30769231,0.399750924,0.478626577,19.73119957,100,96,-4,0.768751778,0.753248384,-2.016697006,760.5004608,577.7188093,758.6283717,623.5880149
04005,AZ,Coconino,112,120,7.142857143,0.839095874,0.871573626,3.870565091,160,162,1.25,1.198708392,1.176624395,-1.842315989,760.5004608,577.7188093,758.6283717,623.5880149
04007,AZ,Gila,33,34,3.03030303,0.616119938,0.640072291,3.887611977,49,55,12.24489796,0.914844756,1.035411058,13.178881,760.5004608,577.7188093,758.6283717,623.5880149
04009,AZ,Graham,16,16,0,0.426382412,0.421529626,-1.138129989,17,12,-29.41176471,0.453031312,0.316147219,-30.21515058,760.5004608,577.7188093,758.6283717,623.5880149
04011,AZ,Greenlee,3,2,-33.33333333,0.347423277,0.213995292,-38.40502176,6,7,16.66666667,0.694846555,0.748983522,7.791211927,760.5004608,577.7188093,758.6283717,623.5880149
04012,AZ,La Paz,15,15,0,0.731207956,0.741436409,1.398843359,24,30,25,1.169932729,1.482872819,26.7485542,760.5004608,577.7188093,758.6283717,623.5880149
04013,AZ,Maricopa,2674,2781,4.001495886,0.70298511,0.68041841,-3.210124993,2191,2384,8.808763122,0.576006124,0.583285684,1.263799069,760.5004608,577.7188093,758.6283717,623.5880149
04015,AZ,Mohave,109,114,4.587155963,0.545829661,0.560579462,2.702271808,123,129,4.87804878,0.615936223,0.634339918,2.987922115,760.5004608,577.7188093,758.6283717,623.5880149
04017,AZ,Navajo,55,54,-1.818181818,0.511290218,0.499532844,-2.299549832,77,78,1.298701299,0.715806305,0.721547442,0.802051761,760.5004608,577.7188093,758.6283717,623.5880149
04019,AZ,Pima,590,611,3.559322034,0.604768445,0.608253129,0.576201265,607,651,7.248764415,0.622193977,0.648073301,4.159365892,760.5004608,577.7188093,758.6283717,623.5880149
04021,AZ,Pinal,122,115,-5.737704918,0.348740817,0.286128016,-17.95396402,98,109,11.2244898,0.280136066,0.271199598,-3.190045568,760.5004608,577.7188093,758.6283717,623.5880149
04023,AZ,Santa Cruz,31,27,-12.90322581,0.659420136,0.578220366,-12.31381408,41,40,-2.43902439,0.872136309,0.856622765,-1.778798064,760.5004608,577.7188093,758.6283717,623.5880149
04025,AZ,Yavapai,141,128,-9.219858156,0.667702157,0.584891521,-12.40233174,204,205,0.490196078,0.966037164,0.936740326,-3.032682247,760.5004608,577.7188093,758.6283717,623.5880149
04027,AZ,Yuma,103,117,13.59223301,0.531711699,0.575654253,8.264357286,83,77,-7.228915663,0.428466709,0.37884938,-11.5802062,760.5004608,577.7188093,758.6283717,623.5880149
05001,AR,Arkansas,18,11,-38.88888889,0.940733772,0.591588685,-37.11412284,12,12,0,0.627155848,0.645369474,2.904162633,576.2104436,622.6752882,444.9218224,472.1275274
05003,AR,Ashley,13,15,15.38461539,0.593065693,0.716058812,20.73853204,9,6,-33.33333333,0.410583942,0.286423525,-30.23995926,576.2104436,622.6752882,444.9218224,472.1275274
05005,AR,Baxter,31,32,3.225806452,0.745891581,0.783219522,5.00447272,44,31,-29.54545455,1.058684825,0.758743912,-28.33146429,576.2104436,622.6752882,444.9218224,472.1275274
05007,AR,Benton,137,160,16.78832117,0.632443911,0.660281197,4.401542299,132,153,15.90909091,0.609362016,0.631393895,3.615564779,576.2104436,622.6752882,444.9218224,472.1275274
05009,AR,Boone,25,23,-8,0.678536532,0.618346059,-8.870631251,23,25,8.695652174,0.62425361,0.672115281,7.66702357,576.2104436,622.6752882,444.9218224,472.1275274
05011,AR,Bradley,4,6,50,0.346680534,0.538213132,55.24757804,5,6,20,0.433350667,0.538213132,24.19806243,576.2104436,622.6752882,444.9218224,472.1275274
05013,AR,Calhoun,2,2,0,0.368935621,0.384467512,4.209919262,2,3,50,0.368935621,0.576701269,56.31487889,576.2104436,622.6752882,444.9218224,472.1275274
05015,AR,Carroll,19,15,-21.05263158,0.699609691,0.540657439,-22.72013295,50,51,2,1.841078135,1.838235294,-0.154411765,576.2104436,622.6752882,444.9218224,472.1275274
05017,AR,Chicot,6,5,-16.66666667,0.506286389,0.447227191,-11.66517591,8,2,-75,0.675048519,0.178890877,-73.49955277,576.2104436,622.6752882,444.9218224,472.1275274
05019,AR,Clark,20,19,-5,0.865800866,0.841601701,-2.795003544,11,11,0,0.476190476,0.48724309,2.321048901,576.2104436,622.6752882,444.9218224,472.1275274
05021,AR,Clay,11,9,-18.18181818,0.685102143,0.595316841,-13.10538912,9,8,-11.11111111,0.560538117,0.529170525,-5.595978304,576.2104436,622.6752882,444.9218224,472.1275274
05023,AR,Cleburne,17,16,-5.882352941,0.657131813,0.624171023,-5.015856698,24,24,0,0.927715501,0.936256534,0.920652259,576.2104436,622.6752882,444.9218224,472.1275274
05025,AR,Cleveland,2,1,-50,0.231240606,0.118357202,-48.81642798,0,1,,0,0.118357202,,576.2104436,622.6752882,444.9218224,472.1275274
05027,AR,Columbia,15,22,46.66666667,0.609211274,0.919232858,50.8890096,9,8,-11.11111111,0.365526765,0.334266494,-8.552115396,576.2104436,622.6752882,444.9218224,472.1275274
05029,AR,Conway,9,7,-22.22222222,0.423389942,0.33202106,-21.58031484,13,12,-7.692307692,0.61156325,0.569178959,-6.930483547,576.2104436,622.6752882,444.9218224,472.1275274
05031,AR,Craighead,79,76,-3.797468354,0.827381077,0.741333229,-10.40002608,65,70,7.692307692,0.680756582,0.682806922,0.301185383,576.2104436,622.6752882,444.9218224,472.1275274
05033,AR,Crawford,28,28,0,0.454582352,0.453830818,-0.165324084,36,30,-16.66666667,0.584463025,0.486247305,-16.80443674,576.2104436,622.6752882,444.9218224,472.1275274
05035,AR,Crittenden,35,34,-2.857142857,0.687231243,0.686203278,-0.149580782,19,20,5.263157895,0.373068389,0.403648987,8.197048689,576.2104436,622.6752882,444.9218224,472.1275274
05037,AR,Cross,9,12,33.33333333,0.500806855,0.696580949,39.09173584,12,7,-41.66666667,0.667742474,0.406338887,-39.14736557,576.2104436,622.6752882,444.9218224,472.1275274
05039,AR,Dallas,4,3,-25,0.488519785,0.386847195,-20.81237911,4,6,50,0.488519785,0.773694391,58.37524178,576.2104436,622.6752882,444.9218224,472.1275274
05041,AR,Desha,10,9,-10,0.76289289,0.733855186,-3.806262231,16,11,-31.25,1.220628624,0.896934116,-26.51867254,576.2104436,622.6752882,444.9218224,472.1275274
05043,AR,Drew,15,15,0,0.811030008,0.805498872,-0.681989045,11,13,18.18181818,0.594755339,0.698099023,17.37583113,576.2104436,622.6752882,444.9218224,472.1275274
05045,AR,Faulkner,62,79,27.41935484,0.559501142,0.654146794,16.9160785,71,70,-1.408450704,0.640719049,0.579623741,-9.535428656,576.2104436,622.6752882,444.9218224,472.1275274
05047,AR,Franklin,6,6,0,0.330669606,0.336983993,1.909575962,10,13,30,0.55111601,0.730131985,32.48244875,576.2104436,622.6752882,444.9218224,472.1275274
05049,AR,Fulton,7,4,-42.85714286,0.572316246,0.329896907,-42.35758468,6,4,-33.33333333,0.490556782,0.329896907,-32.75051546,576.2104436,622.6752882,444.9218224,472.1275274
05051,AR,Garland,75,85,13.33333333,0.782554257,0.873389367,11.60751594,98,100,2.040816327,1.022537563,1.027516903,0.486959133,576.2104436,622.6752882,444.9218224,472.1275274
05053,AR,Grant,9,6,-33.33333333,0.507013689,0.330687831,-34.77733686,8,9,12.5,0.450678835,0.496031746,10.06324405,576.2104436,622.6752882,444.9218224,472.1275274
05055,AR,Greene,27,28,3.703703704,0.647125087,0.64082025,-0.974284121,24,22,-8.333333333,0.575222299,0.503501625,-12.46834043,576.2104436,622.6752882,444.9218224,472.1275274
05057,AR,Hempstead,12,11,-8.333333333,0.530621269,0.492677028,-7.150908467,11,13,18.18181818,0.48640283,0.582254669,19.70626677,576.2104436,622.6752882,444.9218224,472.1275274
05059,AR,Hot Spring,17,14,-17.64705882,0.518340092,0.419563654,-19.0562991,8,9,12.5,0.243924749,0.269719492,10.57487713,576.2104436,622.6752882,444.9218224,472.1275274
05061,AR,Howard,8,9,12.5,0.582199258,0.666666667,14.50833333,5,8,60,0.363874536,0.592592593,62.8562963,576.2104436,622.6752882,444.9218224,472.1275274
05063,AR,Independence,22,21,-4.545454545,0.606745911,0.568197191,-6.3533547,22,27,22.72727273,0.606745911,0.730539246,20.40282967,576.2104436,622.6752882,444.9218224,472.1275274
05065,AR,Izard,3,3,0,0.219314277,0.222452914,1.431113748,6,7,16.66666667,0.438628555,0.5190568,18.33629937,576.2104436,622.6752882,444.9218224,472.1275274
05067,AR,Jackson,5,9,80,0.278629145,0.513288468,84.21923121,10,8,-20,0.557258289,0.456256416,-18.12478613,576.2104436,622.6752882,444.9218224,472.1275274
05069,AR,Jefferson,62,56,-9.677419355,0.797335357,0.774582624,-2.853596299,31,32,3.225806452,0.398667678,0.442618643,11.02446137,576.2104436,622.6752882,444.9218224,472.1275274
05071,AR,Johnson,17,11,-35.29411765,0.669977142,0.422995578,-36.8641777,10,11,10,0.394104201,0.422995578,7.330897904,576.2104436,622.6752882,444.9218224,472.1275274
05073,AR,Lafayette,2,3,50,0.26130128,0.421881592,61.45408522,3,1,-66.66666667,0.391951921,0.140627197,-64.1213144,576.2104436,622.6752882,444.9218224,472.1275274
05075,AR,Lawrence,4,6,50,0.230733733,0.35437954,53.58809285,9,11,22.22222222,0.5191509,0.649695824,25.14585343,576.2104436,622.6752882,444.9218224,472.1275274
05077,AR,Lee,3,3,0,0.286861733,0.304259635,6.064908722,2,1,-50,0.191241155,0.101419878,-46.96754564,576.2104436,622.6752882,444.9218224,472.1275274
05079,AR,Lincoln,2,5,150,0.140994008,0.357909807,153.8475304,10,6,-40,0.704970039,0.429491768,-39.0765927,576.2104436,622.6752882,444.9218224,472.1275274
05081,AR,Little River,3,6,100,0.226791654,0.478774338,111.1075646,7,3,-57.14285714,0.529180526,0.239387169,-54.76266472,576.2104436,622.6752882,444.9218224,472.1275274
05083,AR,Logan,12,13,8.333333333,0.535021624,0.592039348,10.65708777,13,9,-30.76923077,0.579606759,0.409873395,-29.28422793,576.2104436,622.6752882,444.9218224,472.1275274
05085,AR,Lonoke,38,38,0,0.563121471,0.531045181,-5.696158307,37,31,-16.21621622,0.548302485,0.433221069,-20.98867318,576.2104436,622.6752882,444.9218224,472.1275274
05087,AR,Madison,2,3,50,0.127607988,0.190597205,49.36149937,9,11,22.22222222,0.574235947,0.698856417,21.70196245,576.2104436,622.6752882,444.9218224,472.1275274
05089,AR,Marion,6,5,-16.66666667,0.358830214,0.30549276,-14.86425938,12,11,-8.333333333,0.717660427,0.672084072,-6.350685322,576.2104436,622.6752882,444.9218224,472.1275274
05091,AR,Miller,24,24,0,0.554477405,0.552638851,-0.33158331,21,22,4.761904762,0.485167729,0.506585613,4.41453177,576.2104436,622.6752882,444.9218224,472.1275274
